"<strong>Auszeit</strong> <br><br> <span style='font-size:75%'>Auszeit (noun) <br>• <strong class=""headword"">Auszeit</strong></span>"	time off<br><br> <span style='font-size:75%'>Automated translations:<br>• time out</span>
"<strong>verteilen</strong> <br><br> <span style='font-size:75%'>verteilen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">verteilen
</strong>               </span><br>• <span class=""full_collocation"">Auszeichnungen/Orden <strong class=""tilde"">verteilen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [an <acronym title=""jemanden"">jdn</acronym>] <strong class=""tilde"">verteilen
</strong>               </span><br>• <span class=""full_collocation"">Geschenke/Flugblätter <strong class=""tilde"">verteilen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">verteilen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> irgendwo <strong class=""tilde"">verteilen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> neu <strong class=""tilde"">verteilen
</strong>               </span> <span class=""topic""><acronym title=""economy"">ECON</acronym></span></span>"	"to distribute<br><br> <span style='font-size:75%'>Automated translations:<br>• to distribute <acronym title=""something"">sth</acronym> [to <acronym title=""somebody"">sb</acronym>]<br>• to give  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> hand]</span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""informal"">inf</acronym></span> dish]</span>  out decorations/medals <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• to distribute  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""info""><acronym title=""separable"">sep</acronym></span> hand out]</span>  presents/leaflets<br>• to spread <acronym title=""something"">sth</acronym> [on <acronym title=""something"">sth</acronym>]<br>• to spread [out  <span class=""info""><acronym title=""separable"">sep</acronym></span> ] <acronym title=""something"">sth</acronym> on <acronym title=""something"">sth</acronym><br>• to redistribute <acronym title=""something"">sth</acronym><br>• to place  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> arrange]</span>  <acronym title=""something"">sth</acronym> somewhere</span>"
"<strong>er trifft die Entscheidung</strong> <br><br> <span style='font-size:75%'>Kreditentscheidung (noun) <br>• <strong class=""headword"">Kreditentscheidung</strong></span>"	he meets a decision (German uses treffen in this context)<br><br> <span style='font-size:75%'>Automated translations:<br>• credit decision</span>
"<strong>loswerden</strong> <br><br> <span style='font-size:75%'>loswerden (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">loswerden
</strong>            </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym> <strong class=""tilde"">loswerden
</strong>            </span><br>• <span class=""full_collocation"">eine Erkältung/ungebetene Gäste <strong class=""tilde"">loswerden
</strong>            </span></span>"	"to get rid of<br><br> <span style='font-size:75%'>Automated translations:<br>• to get rid of a cold/unwanted guests<br>• to flog <acronym title=""something"">sth</acronym><br>• to tell <acronym title=""something"">sth</acronym><br>• to shell out <acronym title=""something"">sth</acronym> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• to get rid of <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym></span>"
"<strong>zufällig</strong> <br><br> <span style='font-size:75%'>zufällig (adjective and adverb) <br>• <span class=""full_collocation"">rein <strong class=""tilde"">zufällig
</strong>               </span><br>• <strong class=""headword"">zufällig</strong> <span class=""collocator"">Ereignis</span><br>• <strong class=""headword"">zufällig</strong><br>• <span class=""example"">Ähnlichkeiten mit lebenden Personen sind rein <strong class=""tilde"">zufällig
</strong>               </span> <span class=""topic""><acronym title=""film, cinema"">CINE</acronym></span></span>"	"accidentally/by chance<br><br> <span style='font-size:75%'>Automated translations:<br>• by pure chance<br>• accidental<br>• any similarity to persons living or dead is purely coincidental<br>• chance <span class=""info""><acronym title=""attributive"">attr</acronym></span></span>"
schützen vor	to protect from
"<strong>immerhin</strong> <br><br> <span style='font-size:75%'>immerhin (adverb) <br>• <span class=""example"">
               <strong class=""tilde"">immerhin</strong> ist er älter als du</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">immerhin!</strong></span><br>• <strong class=""headword"">immerhin</strong></span>"	after<br><br> <span style='font-size:75%'>Automated translations:<br>• after all<br>• all the same!<br>• all the same<br>• anyhow<br>• at least<br>• at any rate<br>• after all he is older than you</span>
Ich kenne mich sehr gut aus	I have very good knowledge of
Ich kenne mich gar nicht aus	I have really no knowledge of
ich bin dabei	I will be there
ich bin am Start	I can't wait
dabei	included/there/yet/at that
"<strong>darauf</strong> <br><br> <span style='font-size:75%'>darauf (adverb) <br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> bestehen</span><br>• <span class=""full_collocation"">am Abend/Tag <strong class=""tilde"">darauf
</strong>            </span><br>• <span class=""example"">Hand <strong class=""tilde"">darauf!</strong></span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> schlagen</span><br>• <span class=""full_collocation"">nur <strong class=""tilde"">darauf</strong> aus sein, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">darauf</strong> sagen</span><br>• <span class=""full_collocation"">bald [<span class=""or""><acronym title=""oder"">o.</acronym></span> kurz] 
               <strong class=""tilde"">darauf
</strong>            </span><br>• <span class=""example"">wir kamen <strong class=""tilde"">darauf</strong> zu sprechen</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
               <strong class=""tilde"">darauf</strong> freuen</span><br>• <strong class=""headword"">darauf</strong><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> reinfallen</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> losfahren/schießen/zielen</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> Rücksicht nehmen, dass ...</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
               <strong class=""tilde"">darauf</strong> verlassen</span><br>• <span class=""full_collocation"">die <strong class=""tilde"">darauf</strong> folgende Frage</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> zugehen/zuschwimmen</span><br>• <span class=""full_collocation"">im Jahr <strong class=""tilde"">darauf
</strong>            </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
               <strong class=""tilde"">darauf</strong> vorbereiten</span><br>• <strong class=""headword"">darauf</strong> <span class=""sense"">(zeitlich)</span><br>• <span class=""example"">Sie haben mein Wort <strong class=""tilde"">darauf!</strong></span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> antworten/reagieren</span><br>• <span class=""example"">erst kam der Premier, <strong class=""tilde"">darauf</strong> folgten Polizisten</span><br>• <span class=""example"">
               <strong class=""tilde"">darauf</strong> wollen wir trinken!</span><br>• <span class=""example"">ein merkwürdiges Thema, wie kamen wir <strong class=""tilde"">darauf?</strong></span><br>• <span class=""example"">wie kommst du nur <strong class=""tilde"">darauf?</strong></span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> beruhen, dass</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> hoffen/wetten, dass ...</span><br>• <span class=""full_collocation"">einen Anspruch <strong class=""tilde"">darauf</strong> erheben</span><br>• <strong class=""headword"">darauf</strong> <span class=""sense"">(danach)</span><br>• <span class=""full_collocation"">stolz <strong class=""tilde"">darauf</strong> sein</span><br>• <span class=""example"">sie trug ein Kleid mit Blumen <strong class=""tilde"">darauf
</strong>            </span><br>• <span class=""example"">
               <strong class=""tilde"">darauf</strong> wolltest du hinaus!</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">darauf</strong> folgend</span><br>• <span class=""full_collocation"">ein Recht <strong class=""tilde"">darauf</strong> haben</span><br>• <span class=""example"">
               <strong class=""tilde"">darauf</strong> steht die Todesstrafe</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
               <strong class=""tilde"">darauf</strong> beziehen</span><br>• <span class=""example"">ich weiß noch nicht, aber ich komme schon <strong class=""tilde"">darauf!</strong></span><br>• <span class=""example"">er hatte gestohlen und wurde <strong class=""tilde"">darauf</strong> von der Schule verwiesen</span></span>"	"on it/thereon/thereafter/at that<br><br> <span style='font-size:75%'>Automated translations:<br>• to be proud of it/that<br>• I don&#39;t know yet, but I&#39;ll soon find out<br>• we talked about it<br>• consequently<br>• he was caught stealing, whereupon he was expelled from the school<br>• a strange subject, how did we arrive at it?<br>• to hope/bet [that] ...<br>• the next question<br>• to say <acronym title=""something"">sth</acronym> to it/this/that<br>• to drive/shoot/aim at it/them<br>• to insist [on it]<br>• to prepare for it<br>• shortly afterwards <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
               <span class=""style""><acronym title=""informal"">inf</acronym></span> after]</span><br>• to fall for it<br>• to be only interested in doing <acronym title=""something"">sth</acronym><br>• [in] the following year<br>• you have my word [on it]<br>• because of that<br>• to claim it<br>• a year later<br>• after <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• that is punishable by death<br>• to look forward to it<br>• whereupon <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• to take into consideration that ...<br>• to refer to it/that/this<br>• on it/that/them etc.<br>• let&#39;s drink to it/that!<br>• to go/swim towards it<br>• the next  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> following]</span>  evening/day<br>• following<br>• afterwards<br>• let&#39;s shake on it<br>• ensuing <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• to have a right to it<br>• she wore a dress with flowers on it<br>• to rely on her/him/you etc.<br>• after that<br>• to be based on the assumption that<br>• the prime minister came first, followed by policemen<br>• to reply/react to it<br>• to hit it<br>• how did you get that idea?<br>• [so] that&#39;s what you were getting at!</span>"
"<strong>obwohl, auch wenn</strong> <br><br> <span style='font-size:75%'>obwohl (conjunction) <br>• <span class=""example"">
                  <strong class=""tilde"">obwohl</strong> er müde war, tat er ihr den Gefallen</span><br>• <strong class=""headword"">obwohl</strong></span>"	although<br><br> <span style='font-size:75%'>Automated translations:<br>• although he was tired he did her the favour<br>• although</span>
"<strong>Gabe</strong> <br><br> <span style='font-size:75%'>Gabe (noun) <br>• <span class=""full_collocation"">die <strong class=""tilde"">Gabe</strong> haben, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <strong class=""headword"">Gabe</strong> <span class=""topic""><acronym title=""religion"">REL</acronym></span><br>• <span class=""full_collocation"">eine milde <strong class=""tilde"">Gabe
</strong>            </span><br>• <strong class=""headword"">Gabe</strong></span>"	"talent<br><br> <span style='font-size:75%'>Automated translations:<br>• offering<br>• to have a [natural] gift of doing <acronym title=""something"">sth</acronym><br>• gift<br>• a small donation <span class=""rhetoric""><acronym title=""humorous"">hum</acronym></span><br>• alms <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• administering <span class=""info"">no <acronym title=""indefinite"">indef</acronym> <acronym title=""article"">art</acronym>, no <acronym title=""plural"">pl</acronym></span><br>• present<br>• prize</span>"
schüchtern sein	to be shy
"<strong>unerträglich</strong> <br><br> <span style='font-size:75%'>unerträglich (adjective and adverb) <br>• <strong class=""headword"">unerträglich</strong></span>"	unbearable<br><br> <span style='font-size:75%'>Automated translations:<br>• impossible<br>• intolerable<br>• unbearable</span>
dafür bin ich nicht zuständig	I am not responsible for that
"<strong>Vorschriften</strong> <br><br> <span style='font-size:75%'>Vorschrift (noun) <br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">Vorschriften</strong> machen</span><br>• <span class=""full_collocation"">nach <strong class=""tilde"">Vorschrift
</strong>               </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> von <acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">Vorschriften</strong>/keine <strong class=""tilde"">Vorschriften</strong> machen lassen</span><br>• <strong class=""headword"">Vorschrift</strong> <span class=""sense"">(polizeilich)</span><br>• <strong class=""headword"">Vorschrift</strong> <span class=""sense"">(Anweisung)</span><br>• <strong class=""headword"">Vorschrift</strong><br>• <span class=""example"">machen Sie mir bitte keine <strong class=""tilde"">Vorschrift</strong>, was ich zu tun und zu lassen habe!</span><br>• <span class=""example"">für jeden möglichen Ausnahmefall existieren genaue <strong class=""tilde"">Vorschriften</strong></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Vorschrift</strong> sein</span></span>"	"regulations<br><br> <span style='font-size:75%'>Automated translations:<br>• to tell <acronym title=""somebody"">sb</acronym> what to do <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> give <acronym title=""somebody"">sb</acronym> orders]</span><br>• to rule<br>• instructions <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• regulation<br>• there are very precise instructions on how to act in any possible emergency<br>• orders <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• don&#39;t try and tell me what I can and can&#39;t do!<br>• to be/not be told what to do by <acronym title=""somebody"">sb</acronym> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> let/not let <acronym title=""somebody"">sb</acronym> order one about]</span><br>• to be the regulation[s]<br>• rule</span>"
"<strong>ziemlich</strong> <br><br> <span style='font-size:75%'>ziemlich (adjective and adverb) <br>• <span class=""example"">das stimmt mit <strong class=""tilde"">ziemlicher</strong> Sicherheit</span><br>• <strong class=""headword"">ziemlich</strong><br>• <span class=""full_collocation"">eine <strong class=""tilde"">ziemliche</strong> Genugtuung</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">ziemliches</strong> Vermögen</span></span>"	quite<br><br> <span style='font-size:75%'>Automated translations:<br>• it is fairly certain to be true<br>• considerable<br>• a siz[e]able fortune<br>• reasonable satisfaction<br>• reasonable<br>• fair</span>
"<strong>Gefängnis</strong> <br><br> <span style='font-size:75%'>Gefängnis (noun) <br>• <span class=""full_collocation"">im <strong class=""tilde"">Gefängnis</strong> sein</span> <span class=""full_collocation"">[<span class=""or""><acronym title=""oder"">o.</acronym></span> 
                <span class=""style""><acronym title=""informal"">inf</acronym></span> sitzen]</span><br>• <strong class=""headword"">Gefängnis</strong><br>• <span class=""full_collocation"">zwei Jahre <strong class=""tilde"">Gefängnis</strong> bekommen</span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> ins <strong class=""tilde"">Gefängnis</strong> bringen</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> zu zwei Jahren <strong class=""tilde"">Gefängnis</strong> verurteilen</span><br>• <span class=""full_collocation"">ins <strong class=""tilde"">Gefängnis</strong> kommen</span><br>• <span class=""full_collocation"">auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> steht <strong class=""tilde"">Gefängnis
</strong>            </span><br>• <span class=""full_collocation"">aus dem <strong class=""tilde"">Gefängnis</strong> ausbrechen</span><br>• <span class=""example"">auf Mord steht lebenslänglich <strong class=""tilde"">Gefängnis
</strong>            </span></span>"	"prison<br><br> <span style='font-size:75%'>Automated translations:<br>• to get <acronym title=""somebody"">sb</acronym> sent down <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• to be inside <span class=""style""><acronym title=""slang"">sl</acronym></span><br>• to break out of prison<br>• imprisonment <span class=""info"">no <acronym title=""plural"">pl</acronym></span><br>• jail<br>• to sentence <acronym title=""somebody"">sb</acronym> to two years imprisonment <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> in prison]</span><br>• to have <acronym title=""somebody"">sb</acronym> sent to prison<br>• prison<br>• murder carries a life sentence<br>• to go down <span class=""style""><acronym title=""slang"">sl</acronym></span><br>• to be sent to prison<br>• gaol <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span><br>• to get two years imprisonment <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> in prison]</span><br>• <acronym title=""something"">sth</acronym> is punishable by imprisonment<br>• to be in prison</span>"
"<strong>Abläufen</strong> <br><br> <span style='font-size:75%'>ablaufen (intransitive verb) <br>• <span class=""example"">das Programm läuft ab wie geplant</span><br>• <span class=""example"">das Badewasser <strong class=""tilde"">ablaufen</strong> lassen</span><br>• <span class=""grammatical_construction"">[aus <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">ablaufen
</strong>            </span><br>• <span class=""grammatical_construction"">[von <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">ablaufen
</strong>            </span><br>• <span class=""example"">misch dich da nicht ein, die Sache könnte sonst ungut für dich <strong class=""tilde"">ablaufen!</strong></span><br>• <span class=""example"">das Wasser im Waschbecken läuft nicht ab</span><br>• <span class=""example"">das Verfallsdatum dieses Produkts ist abgelaufen</span><br>• <span class=""example"">das Kabel läuft von einer Rolle ab</span><br>• <strong class=""headword"">ablaufen</strong><br>• <span class=""example"">nach dem Spülen lässt sie das Geschirr erst auf dem Trockengestell <strong class=""tilde"">ablaufen
</strong>            </span><br>• <span class=""example"">an ihm läuft alles ab</span><br>• <span class=""example"">das Ultimatum läuft nächste Woche ab</span><br>• <span class=""grammatical_construction"">an <acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">ablaufen
</strong>            </span><br>• <span class=""grammatical_construction"">abgelaufen</span></span>"	"processes<br><br> <span style='font-size:75%'>Automated translations:<br>• to stand [to dry]<br>• the programme ran as planned <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> scheduled]</span><br>• to run out [from <acronym title=""something"">sth</acronym>]<br>• to empty<br>• to proceed<br>• the water won&#39;t drain out of the sink<br>• the ultimatum will run out  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> expire]</span>  
                <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> end]</span>  next week<br>• to drain [from <acronym title=""something"">sth</acronym>]<br>• to let the bath water out<br>• to run<br>• don&#39;t interfere — otherwise, it could bring you trouble!<br>• the reel pays out the cable<br>• to run out [of <acronym title=""something"">sth</acronym>]<br>• after washing up, she lets the dishes stand on the drainer<br>• to go [off]<br>• to expire<br>• it&#39;s like water off a duck&#39;s back [with him]<br>• to empty the bath<br>• to wash over <acronym title=""somebody"">sb</acronym><br>• this product has passed its sell-by date<br>• to run out<br>• expired</span>"
"<strong>neulich</strong> <br><br> <span style='font-size:75%'>neulich (adverb) <br>• <span class=""example"">erinnert ihr euch noch an <strong class=""tilde"">neulich</strong> abends/morgens/sonntags?</span><br>• <span class=""full_collocation"">von <strong class=""tilde"">neulich
</strong>               </span><br>• <strong class=""headword"">neulich</strong></span>"	recently<br><br> <span style='font-size:75%'>Automated translations:<br>• from the other day<br>• recently<br>• do you remember the other evening/morning/Sunday?<br>• the other day</span>
meiner Meinung nach	in my opinion
