"<strong>Angestellte</strong> <br><br> <span style='font-size:75%'>Angestellte(r) (noun) <br>• <strong class=""headword"">Angestellte(r)</strong></span>"	employees<br><br> <span style='font-size:75%'>Automated translations:<br>• [salaried] employee<br>• white-collar worker</span>
"<strong>zuletzt</strong> <br><br> <span style='font-size:75%'>zuletzt (adverb) <br>• <span class=""full_collocation"">bis <strong class=""tilde"">zuletzt
</strong>            </span><br>• <span class=""full_collocation"">ganz <strong class=""tilde"">zuletzt
</strong>            </span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">zuletzt</strong> durchs Ziel gehen</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">zuletzt</strong> eingetroffen</span><br>• <strong class=""headword"">zuletzt</strong><br>• <span class=""full_collocation"">nicht <strong class=""tilde"">zuletzt
</strong>            </span></span>"	"most recently<br><br> <span style='font-size:75%'>Automated translations:<br>• to be the last to arrive<br>• right at the  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> at the very]</span>  end<br>• until the end<br>• last<br>• in the end<br>• finally<br>• to finish last<br>• not least [of all]</span>"
"<strong>flach</strong> <br><br> <span style='font-size:75%'>flach (adjective and adverb) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">flaches</strong> Negativ</span><br>• <strong class=""headword"">flach</strong> <span class=""sense"">(eben, platt)</span><br>• <strong class=""headword"">flach</strong> <span class=""sense"">(nicht steil)</span><br>• <strong class=""headword"">flach</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">flach</strong> liegen</span> <span class=""full_collocation"">[<span class=""or""><acronym title=""oder"">o.</acronym></span> schlafen]</span><br>• <strong class=""headword"">flach</strong> <span class=""sense"">(nicht hoch)</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">flach</strong> hinlegen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">flach</strong> [zu <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] abfallen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">flach</strong> atmen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">flache</strong> Gradation</span></span>"	"flat/shallow<br><br> <span style='font-size:75%'>Automated translations:<br>• gentle<br>• low<br>• to slope down gently [into  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> towards]</span>  <acronym title=""something"">sth</acronym>]<br>• to sleep without a pillow<br>• to lie [down] flat<br>• shallow<br>• to take shallow breaths<br>• soft gradation<br>• flat<br>• soft negative</span>"
"<strong>dünn</strong> <br><br> <span style='font-size:75%'>dünn (adjective and adverb) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dünner</strong> Brei/<strong class=""tilde"">dünne</strong> Suppe</span><br>• <span class=""example"">he, mach dich mal <strong class=""tilde"">dünn</strong>, wir wollen mit dem Schrank da vorbei!</span><br>• <span class=""idiom_proverb"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">dünn</strong> machen</span> <span class=""style""><acronym title=""slang"">sl</acronym></span><br>• <span class=""example"">sein Haarwuchs ist schon <strong class=""tilde"">dünn</strong> geworden</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dünnes</strong> Buch</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dünner</strong> Schleier/<strong class=""tilde"">dünne</strong> Strümpfe</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dünne</strong> Schneedecke</span><br>• <span class=""example"">wenn du dich ein bisschen <strong class=""tilde"">dünn</strong> machst, passen wir auch noch auf die Bank</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dünnes</strong> Bier</span><br>• <strong class=""headword"">dünn</strong></span>"	"thin<br><br> <span style='font-size:75%'>Automated translations:<br>• hey, breathe in, we want to get past [you] with this cupboard!<br>• if you squeeze up a bit, we&#39;ll [be able to] fit on the bench too<br>• thin  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> watery]</span>  pulp/soup<br>• he&#39;s [already] gone a bit thin on top<br>• weak<br>• light covering of snow<br>• weak  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> watery]</span>  beer<br>• fine veil/tights<br>• to breathe in<br>• light<br>• slim volume<br>• thin</span>"
"<strong>dick</strong> <br><br> <span style='font-size:75%'>dick (adjective and adverb) <br>• <span class=""example"">in der Firma herrscht heute <strong class=""tilde"">dicke</strong> Luft</span> <span class=""rhetoric""><acronym title=""figurative"">fig</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> macht [<acronym title=""jemanden"">jdn</acronym>] <strong class=""tilde"">dick
</strong>               </span> <span class=""collocator"">Kleidung</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dick</strong> und fett [<span class=""or""><acronym title=""oder"">o.</acronym></span> rund] sein</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""grammatical_construction"">[von <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">dick</strong> werden</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Zigarre</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""idiom_proverb"">eine <strong class=""tilde"">dicke</strong> Brieftasche haben</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicker</strong> [Baby]bauch</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Limousine</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">dicker</strong> Tadel/Verweis</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Backe</span><br>• <strong class=""headword"">dick</strong><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> macht [<acronym title=""jemanden"">jdn</acronym>] <strong class=""tilde"">dick
</strong>               </span> <span class=""collocator"">Speisen, Getränke</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">dicker</strong> Stoff</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Beule</span><br>• <span class=""example"">die Salbe ist 1 mm <strong class=""tilde"">dick</strong> aufzutragen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicke</strong> Freunde</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">dicker</strong> Baum/Stamm</span><br>• <span class=""full_collocation"">einen <strong class=""tilde"">dicken</strong> Bauch haben</span><br>• <strong class=""headword"">dick</strong> <span class=""collocator"">Körperteile <acronym title=""auch"">a.</acronym></span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">dicker</strong> Band/ein <strong class=""tilde"">dickes</strong> Buch</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Eisdecke</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dick</strong> machen</span> <span class=""collocator"">Speisen, Getränke</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">dickes</strong> Lob [für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] bekommen</span><br>• <span class=""idiom_proverb"">sich <span class=""style""><acronym title=""informal"">inf</acronym></span> 
                  <strong class=""tilde"">dick</strong> machen</span> <span class=""sense"">(angeben)</span><br>• <span class=""example"">mach dich nicht so <strong class=""tilde"">dick!</strong></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicker</strong> Nebel/Rauch</span><br>• <span class=""full_collocation"">eine 7 Meter <strong class=""tilde"">dicke</strong> Schicht</span><br>• <span class=""idiom_proverb"">mit <acronym title=""jemandem"">jdm</acronym> durch <strong class=""tilde"">dick</strong> und dünn gehen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicke</strong> Luft</span> <span class=""rhetoric""><acronym title=""figurative"">fig</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""idiom_proverb"">sich <span class=""style""><acronym title=""informal"">inf</acronym></span> 
                  <strong class=""tilde"">dick</strong> machen</span> <span class=""sense"">(viel Platz einnehmen)</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Belohnung</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">dickes</strong> Bündel Banknoten</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">dicke</strong> Soße</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicke</strong> Backen/Wangen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicke</strong> Luft</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">dicke</strong> Tränen vergießen</span> <span class=""rhetoric""><acronym title=""figurative"">fig</acronym></span><br>• <strong class=""headword"">dick</strong> <span class=""collocator"">person <acronym title=""auch"">a.</acronym></span></span>"	"thick<br><br> <span style='font-size:75%'>Automated translations:<br>• to spread oneself out<br>• to have a fat  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> big]</span>  belly<br>• to be fattening<br>• to put on weight [from <acronym title=""something"">sth</acronym>]<br>• a thick volume/book<br>• a heavy fabric<br>• thick air<br>• to go through thick and thin with <acronym title=""somebody"">sb</acronym><br>• a thick sauce<br>• close<br>• a big lump<br>• swollen<br>• tense  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bad]</span>  atmosphere<br>• thick <span class=""rhetoric""><acronym title=""auch"">a.</acronym> <acronym title=""figurative"">fig</acronym></span><br>• a fat  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> thick]</span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> big]</span>  bundle of bank notes<br>• there&#39;s a tense atmosphere at work today<br>• to have a fat wallet <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• a swollen cheek<br>• <acronym title=""something"">sth</acronym> is fattening<br>• a big limousine<br>• you have to spread the ointment 1 mm thick<br>• <acronym title=""something"">sth</acronym> makes <acronym title=""somebody"">sb</acronym> look fat<br>• big belly<br>• corpulent <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• to be round and fat<br>• to get fat [from <acronym title=""something"">sth</acronym>]<br>• a 7 metres thick layer <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> a layer 7 metres thick]</span><br>• fat<br>• close friends<br>• chubby cheeks<br>• a big  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""informal"">inf</acronym></span> fat]</span>  cigar<br>• <acronym title=""something"">sth</acronym> makes [<acronym title=""somebody"">sb</acronym>] fat<br>• dense  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> thick]</span>  fog/smoke<br>• a thick tree/trunk<br>• thick<br>• to puff oneself up<br>• a big fat reward <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• to shed large tears<br>• to be praised highly  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> to the high heavens]</span>  [for <acronym title=""something"">sth</acronym>]<br>• a severe  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> sharp]</span>  reprimand<br>• a thick ice layer<br>• big<br>• don&#39;t take so much space!<br>• stout <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span></span>"
"<strong>glatt</strong> <br><br> <span style='font-size:75%'>glatt (adjective and adverb) <br>• <strong class=""headword"">glatt</strong> <span class=""collocator"">Straße, Weg</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> hobeln/schmirgeln</span><br>• <strong class=""headword"">glatt</strong> <span class=""collocator"">Fisch</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">glatte</strong> Eins/Fünf [schreiben]</span> <span class=""topic""><acronym title=""school, education"">SCHOOL</acronym></span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> schleifen</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> walzen</span><br>• <strong class=""headword"">glatt</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatt</strong> rechts stricken</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">glatte</strong> Landung</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">glatter</strong> Bruch</span> <span class=""topic""><acronym title=""medicine"">MED</acronym></span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">glatte</strong> Lüge</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> bügeln</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> die Haare <strong class=""tilde"">glatt</strong> streichen</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">glattes</strong> Gesicht</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> streichen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatte</strong> See</span><br>• <strong class=""headword"">glatt</strong> <span class=""collocator"">Fläche, Haut</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatter</strong> Unsinn</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatt</strong> rasiert</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> feilen</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> rühren</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> ziehen</span> <span class=""collocator"">Betttuch <acronym title=""auch"">a.</acronym></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatt</strong> aufgehen</span> <span class=""collocator"">Rechnung</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> stoßen</span> <span class=""collocator"">Papier</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatt</strong> kämmen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatter</strong> Satz</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatt</strong> pürieren</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glatter</strong> Stoff</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">glatt</strong> ziehen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">glattes</strong> Haar</span></span>"	"Smooth<br><br> <span style='font-size:75%'>Automated translations:<br>• to straighten [out] <acronym title=""something"">sth</acronym><br>• a downright  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> blatant]</span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> barefaced]</span>  lie<br>• to plane down/sand down <acronym title=""something"">sth</acronym><br>• smooth<br>• to iron [out  <span class=""info""><acronym title=""separable"">sep</acronym></span>] <acronym title=""something"">sth</acronym><br>• body  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> straight]</span>  matter<br>• to grind <acronym title=""something"">sth</acronym> smooth<br>• calm  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> smooth]</span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> unruffled]</span>  sea<br>• to puree <acronym title=""something"">sth</acronym> until smooth<br>• to iron <acronym title=""something"">sth</acronym> smooth<br>• uncreased fabric<br>• a smooth landing<br>• outright<br>• to jog  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""info""><acronym title=""separable"">sep</acronym></span> knock up]</span>  <acronym title=""something"">sth</acronym><br>• to knit stockinette stitch <span class=""region""><acronym title=""besonders"">bes.</acronym> <acronym title=""American English"" class=""Am"">Am</acronym></span><br>• to smooth  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> pat]</span>  down one&#39;s hair <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• to brush smooth<br>• sheer  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> utter]</span>  nonsense<br>• clean-shaven<br>• to file <acronym title=""something"">sth</acronym> smooth<br>• to work out exactly<br>• slick<br>• [to get] an A/E <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> an A/F]</span><br>• icey<br>• a clean break<br>• to smooth out <acronym title=""something"">sth</acronym><br>• to smooth out <acronym title=""something"">sth</acronym> <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• sheer<br>• straight hair<br>• to knit stocking stitch<br>• to flatten <acronym title=""something"">sth</acronym><br>• an unlined face<br>• to stir <acronym title=""something"">sth</acronym> until smooth<br>• slippery<br>• merry<br>• jolly</span>"
"<strong>rau</strong> <br><br> <span style='font-size:75%'>rau (adjective and adverb) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">raue</strong> Lippen</span><br>• <strong class=""headword"">rau</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">raue</strong> Hände/Haut/<strong class=""tilde"">rauer</strong> Stoff</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">raue</strong> Stimme</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">raues</strong> Benehmen/<strong class=""tilde"">raue</strong> Sitten</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">raue</strong> Gegend</span></span>"	"rough<br><br> <span style='font-size:75%'>Automated translations:<br>• chapped lips<br>• sore<br>• harsh<br>• a hoarse  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> husky]</span>  voice<br>• rough hands/skin/material<br>• uncouth behaviour  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> -or]</span> /manners<br>• rough<br>• raw<br>• a bleak  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> an inhospitable]</span>  region</span>"
"<strong>empfindlich</strong> <br><br> <span style='font-size:75%'>empfindlich (adjective and adverb) <br>• <strong class=""headword"">empfindlich</strong> <span class=""sense"">(reizbar)</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> an seiner <strong class=""tilde"">empfindlichen</strong> Stelle treffen</span><br>• <strong class=""headword"">empfindlich</strong> <span class=""collocator"">Gesundheit</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">empfindlicher</strong> Film</span><br>• <strong class=""headword"">empfindlich</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">empfindliche</strong> Haut</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">empfindlich</strong> gegen Kälte</span><br>• <span class=""example"">in dieser Gelegenheit ist sie sehr <strong class=""tilde"">empfindlich
</strong>               </span><br>• <strong class=""headword"">empfindlich</strong> <span class=""complement"">gegen</span> <span class=""object-case"">+<acronym title=""accusative"">acc</acronym></span></span>"	"Sensitive/delicate<br><br> <span style='font-size:75%'>Automated translations:<br>• oversensitive<br>• sensitive to cold<br>• film with high light sensitivity<br>• delicate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> sensitive]</span>  skin<br>• higher speed film<br>• touchy<br>• sensitive <span class=""complement"">to</span><br>• she&#39;s very touchy in this matter<br>• delicate<br>• to touch <acronym title=""somebody's"">sb's</acronym> sore spot<br>• sensitive</span>"
"<strong>zerbrechlich</strong> <br><br> <span style='font-size:75%'>zerbrechlich (adjective and adverb) <br>• <span class=""example"">Vorsicht, <strong class=""tilde"">zerbrechlich
</strong>            </span><br>• <strong class=""headword"">zerbrechlich</strong></span>"	fragile<br><br> <span style='font-size:75%'>Automated translations:<br>• fragile<br>• fragile, handle with care<br>• frail</span>
"<strong>stabil</strong> <br><br> <span style='font-size:75%'>stabil (adjective and adverb) <br>• <span class=""full_collocation"">
               <strong class=""tilde"">stabile</strong> Gesundheit/Konstitution</span><br>• <strong class=""headword"">stabil</strong></span>"	sturdy/stable<br><br> <span style='font-size:75%'>Automated translations:<br>• steady<br>• sturdy<br>• sound health/constitution<br>• stable</span>
"<strong>eckig</strong> <br><br> <span style='font-size:75%'>eckig (adjective and adverb) <br>• <strong class=""headword"">eckig</strong> <span class=""sense"">(verwinkelt)</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">eckiges</strong> Gesicht</span><br>• <span class=""full_collocation"">mit <strong class=""tilde"">eckigen</strong> Bewegungen gehen</span><br>• <strong class=""headword"">eckig</strong></span>"	"Square, angular<br><br> <span style='font-size:75%'>Automated translations:<br>• to walk jerkily <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> with a jerk]</span><br>• an angular face<br>• square<br>• rough<br>• jerky<br>• angular</span>"
"<strong>platzsparend</strong> <br><br> <span style='font-size:75%'>raumsparend (adjective and adverb) <br>• <strong class=""headword"">raumsparend</strong></span>"	"Compact/space-saving<br><br> <span style='font-size:75%'>Automated translations:<br>• space-saving <span class=""info""><acronym title=""attributive"">attr</acronym></span></span>"
"<strong>sperrig</strong> <br><br> <span style='font-size:75%'>sperrig (adjective and adverb) <br>• <strong class=""headword"">sperrig</strong></span>"	large/bulky<br><br> <span style='font-size:75%'>Automated translations:<br>• bulky<br>• unwieldy<br>• uncooperative</span>
Ich bin genauso wie du	I am just like you!
Mir geht es genauso wie dir	It goes for me just like it does for you.
"<strong>gebraucht</strong> <br><br> <span style='font-size:75%'>gebraucht (adjective and adverb) <br>• <strong class=""headword"">gebraucht</strong></span>"	second-hand/used<br><br> <span style='font-size:75%'>Automated translations:<br>• second-hand</span>
es kommt nicht oft vor	it doesn't happen often
Sie hatten in der zeit	Stood the test of time
Einselkind	only child
"<strong>übertragen</strong> <br><br> <span style='font-size:75%'>übertragen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [auf <acronym title=""jemanden"">jdn</acronym>] <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> ein Recht <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> die Verantwortung <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>/in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> aus <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> wird von <acronym title=""jemandem"">jdm</acronym>/dem Tier auf <acronym title=""jemanden"">jdn</acronym>/das Tier <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> auf eine Kassette <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> wortwörtlich <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">übertragen
</strong>               </span> <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""jemanden"">jdn</acronym>  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span></span>"	"pass on/transmit<br><br> <span style='font-size:75%'>Automated translations:<br>• to do a literal translation of <acronym title=""something"">sth</acronym><br>• to translate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> render]</span>  <acronym title=""something"">sth</acronym> from <acronym title=""something"">sth</acronym><br>• to entrust <acronym title=""somebody"">sb</acronym> with the responsibility<br>• to apply <acronym title=""something"">sth</acronym> to <acronym title=""something"">sth</acronym><br>• to translate <acronym title=""something"">sth</acronym><br>• to transfer <acronym title=""something"">sth</acronym> to/into <acronym title=""something"">sth</acronym><br>• to communicate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> pass on <span class=""info""><acronym title=""separable"">sep</acronym></span>]</span>  <acronym title=""something"">sth</acronym> [to <acronym title=""somebody"">sb</acronym>]<br>• to translate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> render]</span>  <acronym title=""something"">sth</acronym> into <acronym title=""something"">sth</acronym><br>• to vest <acronym title=""somebody"">sb</acronym> with <acronym title=""something"">sth</acronym> <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• to transfer <acronym title=""something"">sth</acronym> to <acronym title=""somebody"">sb</acronym><br>• to tape <acronym title=""something"">sth</acronym><br>• to broadcast <acronym title=""something"">sth</acronym><br>• to record <acronym title=""something"">sth</acronym> on <acronym title=""something"">sth</acronym><br>• to assign <acronym title=""somebody"">sb</acronym> a right<br>• to record <acronym title=""something"">sth</acronym> on tape <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> cassette]</span><br>• to transfer a right to <acronym title=""somebody"">sb</acronym><br>• to transmit  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> transfer]</span>  <acronym title=""something"">sth</acronym> to <acronym title=""something"">sth</acronym><br>• <acronym title=""something"">sth</acronym> is communicated  <span class=""style""><acronym title=""formal language"">form</acronym></span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> passed on]</span>  from <acronym title=""somebody"">sb</acronym>/animal to <acronym title=""somebody"">sb</acronym>/animal<br>• to translate <acronym title=""something"">sth</acronym> word for word</span>"
